,date,open,high,low,close,volume,average,barCount
627,2022-12-14,145.35,146.66,141.16,143.21,59704420.0,144.353,269556
628,2022-12-15,141.11,141.8,136.02,136.5,68097647.0,137.811,326848
629,2022-12-16,136.69,137.65,133.73,134.51,76287323.0,135.265,302286
630,2022-12-19,135.07,135.25,131.32,132.37,55810300.0,132.457,239157
631,2022-12-20,131.4,133.25,129.9,132.3,59227848.0,131.807,255760
632,2022-12-21,132.99,136.81,132.75,135.45,59010998.0,135.289,249623
633,2022-12-22,134.42,134.56,130.3,132.23,57575140.0,131.793,254981
634,2022-12-23,130.93,132.42,129.64,131.86,50329486.0,131.097,202075
635,2022-12-27,131.42,131.42,128.72,130.03,52122468.0,129.915,212695
636,2022-12-28,129.73,131.03,125.87,126.04,67700015.0,127.723,282542
637,2022-12-29,127.99,130.49,127.73,129.61,60111956.0,129.522,242513
638,2022-12-30,128.41,129.95,127.43,129.93,56782382.0,128.617,236368
639,2023-01-03,130.25,130.9,124.17,125.07,80972048.0,125.758,343777
640,2023-01-04,126.91,128.66,125.08,126.36,68010526.0,126.677,305677
641,2023-01-05,127.2,127.77,124.76,125.02,60250831.0,126.207,261030
642,2023-01-06,126.0,130.29,124.89,129.62,64421353.0,128.062,287586
643,2023-01-09,130.52,133.41,129.89,130.15,53320917.0,131.83,235286
644,2023-01-10,130.28,131.27,128.12,130.73,51125163.0,129.735,218082
645,2023-01-11,131.21,133.51,130.46,133.49,51414827.0,132.141,214409
646,2023-01-12,133.81,134.26,131.44,133.41,51955143.0,133.121,219246
647,2023-01-13,131.95,134.92,131.66,134.76,43779108.0,133.564,189661
648,2023-01-17,134.83,137.29,134.13,135.94,46840401.0,135.757,198191
649,2023-01-18,136.82,138.61,135.03,135.21,50284661.0,136.532,221309
650,2023-01-19,134.09,136.25,133.77,135.27,43664494.0,134.941,188178
651,2023-01-20,135.21,138.02,134.22,137.87,54540584.0,135.983,222889
652,2023-01-23,138.13,143.32,137.9,141.11,62585642.0,141.276,284102
653,2023-01-24,140.31,143.16,140.3,142.53,44284503.0,142.137,193731
654,2023-01-25,140.95,142.43,138.81,141.86,49457827.0,140.601,216352
655,2023-01-26,143.15,144.25,141.9,143.96,39937944.0,143.254,183157
656,2023-01-27,143.18,147.23,143.08,145.93,50487118.0,145.831,214863
657,2023-01-30,144.96,145.55,142.85,143.0,45801580.0,143.766,216446
658,2023-01-31,142.69,144.34,142.28,144.29,37758543.0,143.384,181171
659,2023-02-01,143.94,146.61,141.32,145.43,56709425.0,143.632,266398
660,2023-02-02,148.82,151.18,148.17,150.82,70180341.0,149.72,314492
661,2023-02-03,147.94,157.38,147.83,154.5,108467761.0,154.591,447803
662,2023-02-06,152.58,153.1,150.78,151.73,49400658.0,152.05,222325
663,2023-02-07,150.73,155.23,150.63,154.65,59548857.0,153.322,288233
664,2023-02-08,153.77,154.58,151.16,151.92,44704905.0,152.444,210118
665,2023-02-09,153.79,154.33,150.42,150.87,38724526.0,152.535,191439
666,2023-02-10,149.49,151.35,149.22,151.01,37699630.0,150.349,169465
667,2023-02-13,150.96,154.26,150.92,153.85,43022921.0,153.117,187497
668,2023-02-14,152.07,153.77,150.86,153.2,44030273.0,152.451,208056
669,2023-02-15,153.12,155.5,152.88,155.33,46662146.0,154.446,195878
670,2023-02-16,153.36,156.33,153.3,153.71,47064260.0,154.974,216868
671,2023-02-17,152.35,153.0,150.85,152.55,41747205.0,151.976,189877
